dac_inputs (V),adc_outputs
0.227106,22
0.227712,22
0.228317,22
0.228923,23
0.229529,22
0.230134,23
0.230740,22
0.231346,22
0.231951,22
0.232557,22
0.233162,22
0.233768,23
0.234374,23
0.234979,23
0.235585,23
0.236190,23
0.236796,23
0.237402,23
0.238007,24
0.238613,23
0.239219,23
0.239824,23
0.240430,24
0.241035,23
0.241641,24
0.242247,24
0.242852,23
0.243458,24
0.244063,24
0.244669,24
0.245275,24
0.245880,24
0.246486,24
0.247092,24
0.247697,24
0.248303,25
0.248908,24
0.249514,24
0.250120,24
0.250725,25
0.251331,25
0.251937,25
0.252542,25
0.253148,25
0.253753,24
0.254359,25
0.254965,25
0.255570,25
0.256176,25
0.256781,25
0.257387,25
0.257993,25
0.258598,25
0.259204,26
0.259810,25
0.260415,26
0.261021,26
0.261626,26
0.262232,26
0.262838,26
0.263443,26
0.264049,26
0.264654,26
0.265260,26
0.265866,26
0.266471,27
0.267077,26
0.267683,26
0.268288,26
0.268894,27
0.269499,27
0.270105,27
0.270711,27
0.271316,27
0.271922,27
0.272527,27
0.273133,27
0.273739,27
0.274344,27
0.274950,27
0.275556,27
0.276161,27
0.276767,28
0.277372,27
0.277978,27
0.278584,28
0.279189,28
0.279795,28
0.280400,27
0.281006,28
0.281612,28
0.282217,28
0.282823,28
0.283429,28
0.284034,28
0.284640,29
0.285245,28
0.285851,28
0.286457,28
0.287062,28
0.287668,28
0.288274,28
0.288879,28
0.289485,29
0.290090,29
0.290696,29
0.291302,29
0.291907,29
0.292513,29
0.293118,29
0.293724,29
0.294330,30
0.294935,29
0.295541,29
0.296147,30
0.296752,30
0.297358,30
0.297963,30
0.298569,30
0.299175,30
0.299780,30
0.300386,31
0.300991,30
0.301597,30
0.302203,30
0.302808,30
0.303414,31
0.304020,30
0.304625,31
0.305231,30
0.305836,31
0.306442,31
0.307048,31
0.307653,31
0.308259,31
0.308864,31
0.309470,31
0.310076,31
0.310681,31
0.311287,31
0.311893,32
0.312498,31
0.313104,32
0.313709,31
0.314315,31
0.314921,31
0.315526,31
0.316132,32
0.316737,31
0.317343,31
0.317949,32
0.318554,31
0.319160,32
0.319766,32
0.320371,32
0.320977,32
0.321582,32
0.322188,32
0.322794,32
0.323399,33
0.324005,32
0.324611,33
0.325216,33
0.325822,32
0.326427,33
0.327033,32
0.327639,33
0.328244,33
0.328850,33
0.329455,33
0.330061,33
0.330667,33
0.331272,33
0.331878,33
0.332484,33
0.333089,34
0.333695,34
0.334300,33
0.334906,33
0.335512,34
0.336117,33
0.336723,33
0.337328,34
0.337934,34
0.338540,34
0.339145,33
0.339751,34
0.340357,34
0.340962,34
0.341568,34
0.342173,34
0.342779,35
0.343385,34
0.343990,34
0.344596,35
0.345201,35
0.345807,35
0.346413,34
0.347018,35
0.347624,35
0.348230,35
0.348835,35
0.349441,35
0.350046,35
0.350652,35
0.351258,36
0.351863,36
0.352469,36
0.353074,35
0.353680,36
0.354286,35
0.354891,36
0.355497,36
0.356103,36
0.356708,36
0.357314,36
0.357919,36
0.358525,36
0.359131,37
0.359736,36
0.360342,36
0.360947,36
0.361553,37
0.362159,36
0.362764,36
0.363370,37
0.363976,37
0.364581,36
0.365187,37
0.365792,37
0.366398,37
0.367004,37
0.367609,37
0.368215,37
0.368821,37
0.369426,37
0.370032,38
0.370637,38
0.371243,38
0.371849,37
0.372454,37
0.373060,37
0.373665,38
0.374271,38
0.374877,37
0.375482,37
0.376088,38
0.376694,38
0.377299,38
0.377905,38
0.378510,38
0.379116,38
0.379722,38
0.380327,39
0.380933,39
0.381538,38
0.382144,38
0.382750,38
0.383355,39
0.383961,38
0.384567,39
0.385172,39
0.385778,39
0.386383,39
0.386989,39
0.387595,39
0.388200,39
0.388806,39
0.389411,40
0.390017,39
0.390623,40
0.391228,39
0.391834,40
0.392440,40
0.393045,39
0.393651,40
0.394256,39
0.394862,40
0.395468,39
0.396073,40
0.396679,40
0.397284,40
0.397890,40
0.398496,40
0.399101,40
0.399707,40
0.400313,40
0.400918,40
0.401524,41
0.402129,41
0.402735,41
0.403341,41
0.403946,41
0.404552,41
0.405158,41
0.405763,41
0.406369,41
0.406974,41
0.407580,42
0.408186,41
0.408791,41
0.409397,41
0.410002,41
0.410608,42
0.411214,42
0.411819,41
0.412425,42
0.413031,42
0.413636,42
0.414242,42
0.414847,42
0.415453,42
0.416059,42
0.416664,42
0.417270,43
0.417875,43
0.418481,42
0.419087,42
0.419692,43
0.420298,42
0.420904,43
0.421509,43
0.422115,43
0.422720,43
0.423326,43
0.423932,43
0.424537,43
0.425143,44
0.425748,44
0.426354,43
0.426960,43
0.427565,43
0.428171,44
0.428777,44
0.429382,43
0.429988,43
0.430593,44
0.431199,44
0.431805,44
0.432410,44
0.433016,44
0.433621,44
0.434227,45
0.434833,45
0.435438,44
0.436044,44
0.436650,44
0.437255,44
0.437861,45
0.438466,45
0.439072,45
0.439678,45
0.440283,45
0.440889,45
0.441495,45
0.442100,45
0.442706,45
0.443311,45
0.443917,46
0.444523,46
0.445128,45
0.445734,46
0.446339,45
0.446945,46
0.447551,45
0.448156,45
0.448762,46
0.449368,45
0.449973,46
0.450579,46
0.451184,46
0.451790,46
0.452396,46
0.453001,46
0.453607,46
0.454212,46
0.454818,46
0.455424,46
0.456029,46
0.456635,47
0.457241,47
0.457846,47
0.458452,47
0.459057,47
0.459663,47
0.460269,47
0.460874,47
0.461480,47
0.462085,47
0.462691,48
0.463297,47
0.463902,47
0.464508,47
0.465114,47
0.465719,47
0.466325,47
0.466930,47
0.467536,48
0.468142,48
0.468747,48
0.469353,48
0.469958,48
0.470564,48
0.471170,48
0.471775,48
0.472381,48
0.472987,48
0.473592,48
0.474198,48
0.474803,48
0.475409,48
0.476015,49
0.476620,49
0.477226,49
0.477832,49
0.478437,49
0.479043,49
0.479648,49
0.480254,49
0.480860,49
0.481465,49
0.482071,49
0.482676,50
0.483282,49
0.483888,49
0.484493,50
0.485099,49
0.485705,50
0.486310,49
0.486916,49
0.487521,50
0.488127,50
0.488733,50
0.489338,49
0.489944,50
0.490549,50
0.491155,50
0.491761,50
0.492366,50
0.492972,50
0.493578,50
0.494183,50
0.494789,51
0.495394,51
0.496000,50
0.496606,50
0.497211,51
0.497817,51
0.498422,51
0.499028,52
0.499634,52
0.500239,52
0.500845,51
0.501451,51
0.502056,51
0.502662,51
0.503267,51
0.503873,51
0.504479,51
0.505084,52
0.505690,52
0.506295,52
0.506901,51
0.507507,52
0.508112,52
0.508718,52
0.509324,52
0.509929,53
0.510535,52
0.511140,52
0.511746,53
0.512352,52
0.512957,52
0.513563,52
0.514168,53
0.514774,53
0.515380,53
0.515985,52
0.516591,53
0.517197,53
0.517802,53
0.518408,53
0.519013,53
0.519619,54
0.520225,54
0.520830,54
0.521436,53
0.522042,54
0.522647,53
0.523253,54
0.523858,54
0.524464,54
0.525070,54
0.525675,54
0.526281,54
0.526886,54
0.527492,54
0.528098,54
0.528703,54
0.529309,55
0.529915,54
0.530520,54
0.531126,54
0.531731,55
0.532337,55
0.532943,55
0.533548,55
0.534154,56
0.534759,55
0.535365,55
0.535971,55
0.536576,56
0.537182,56
0.537788,56
0.538393,55
0.538999,56
0.539604,56
0.540210,55
0.540816,56
0.541421,56
0.542027,56
0.542632,55
0.543238,56
0.543844,56
0.544449,56
0.545055,56
0.545661,56
0.546266,57
0.546872,56
0.547477,56
0.548083,56
0.548689,56
0.549294,56
0.549900,56
0.550505,57
0.551111,57
0.551717,57
0.552322,57
0.552928,57
0.553534,57
0.554139,57
0.554745,57
0.555350,57
0.555956,57
0.556562,57
0.557167,57
0.557773,57
0.558379,58
0.558984,58
0.559590,57
0.560195,57
0.560801,58
0.561407,58
0.562012,58
0.562618,57
0.563223,58
0.563829,58
0.564435,58
0.565040,58
0.565646,58
0.566252,58
0.566857,59
0.567463,58
0.568068,58
0.568674,58
0.569280,59
0.569885,59
0.570491,59
0.571096,59
0.571702,59
0.572308,59
0.572913,59
0.573519,59
0.574125,59
0.574730,59
0.575336,59
0.575941,59
0.576547,60
0.577153,60
0.577758,59
0.578364,60
0.578969,59
0.579575,60
0.580181,59
0.580786,61
0.581392,61
0.581998,60
0.582603,60
0.583209,60
0.583814,60
0.584420,60
0.585026,60
0.585631,61
0.586237,60
0.586842,60
0.587448,60
0.588054,60
0.588659,61
0.589265,61
0.589871,61
0.590476,61
0.591082,61
0.591687,61
0.592293,61
0.592899,61
0.593504,61
0.594110,61
0.594716,61
0.595321,61
0.595927,61
0.596532,61
0.597138,62
0.597744,62
0.598349,61
0.598955,62
0.599560,62
0.600166,62
0.600772,63
0.601377,62
0.601983,62
0.602589,62
0.603194,62
0.603800,62
0.604405,62
0.605011,63
0.605617,63
0.606222,62
0.606828,62
0.607433,63
0.608039,63
0.608645,62
0.609250,63
0.609856,63
0.610462,64
0.611067,63
0.611673,63
0.612278,63
0.612884,63
0.613490,63
0.614095,63
0.614701,63
0.615306,63
0.615912,63
0.616518,63
0.617123,64
0.617729,64
0.618335,63
0.618940,64
0.619546,63
0.620151,64
0.620757,63
0.621363,64
0.621968,64
0.622574,64
0.623179,64
0.623785,64
0.624391,65
0.624996,65
0.625602,65
0.626208,64
0.626813,64
0.627419,64
0.628024,65
0.628630,64
0.629236,65
0.629841,65
0.630447,65
0.631053,65
0.631658,65
0.632264,65
0.632869,65
0.633475,65
0.634081,65
0.634686,66
0.635292,65
0.635897,65
0.636503,65
0.637109,66
0.637714,65
0.638320,66
0.638926,66
0.639531,66
0.640137,67
0.640742,66
0.641348,66
0.641954,66
0.642559,66
0.643165,66
0.643770,66
0.644376,66
0.644982,67
0.645587,66
0.646193,66
0.646799,67
0.647404,67
0.648010,66
0.648615,67
0.649221,67
0.649827,67
0.650432,68
0.651038,68
0.651643,67
0.652249,67
0.652855,67
0.653460,68
0.654066,67
0.654672,67
0.655277,67
0.655883,68
0.656488,68
0.657094,68
0.657700,68
0.658305,67
0.658911,68
0.659516,68
0.660122,68
0.660728,69
0.661333,68
0.661939,69
0.662545,69
0.663150,68
0.663756,68
0.664361,68
0.664967,69
0.665573,69
0.666178,70
0.666784,69
0.667389,69
0.667995,69
0.668601,69
0.669206,69
0.669812,69
0.670418,69
0.671023,69
0.671629,69
0.672234,69
0.672840,69
0.673446,70
0.674051,70
0.674657,69
0.675263,70
0.675868,70
0.676474,70
0.677079,70
0.677685,70
0.678291,70
0.678896,70
0.679502,70
0.680107,70
0.680713,70
0.681319,70
0.681924,71
0.682530,70
0.683136,70
0.683741,70
0.684347,71
0.684952,71
0.685558,71
0.686164,71
0.686769,71
0.687375,71
0.687980,71
0.688586,71
0.689192,71
0.689797,71
0.690403,71
0.691009,72
0.691614,71
0.692220,71
0.692825,72
0.693431,71
0.694037,72
0.694642,72
0.695248,72
0.695853,73
0.696459,72
0.697065,72
0.697670,72
0.698276,72
0.698882,72
0.699487,72
0.700093,72
0.700698,73
0.701304,73
0.701910,72
0.702515,72
0.703121,73
0.703726,73
0.704332,73
0.704938,73
0.705543,73
0.706149,73
0.706755,74
0.707360,73
0.707966,73
0.708571,74
0.709177,73
0.709783,73
0.710388,73
0.710994,74
0.711600,73
0.712205,74
0.712811,73
0.713416,74
0.714022,74
0.714628,74
0.715233,74
0.715839,74
0.716444,74
0.717050,74
0.717656,75
0.718261,74
0.718867,75
0.719473,74
0.720078,74
0.720684,74
0.721289,75
0.721895,74
0.722501,75
0.723106,75
0.723712,75
0.724317,74
0.724923,75
0.725529,75
0.726134,75
0.726740,75
0.727346,75
0.727951,75
0.728557,76
0.729162,76
0.729768,76
0.730374,76
0.730979,76
0.731585,76
0.732190,76
0.732796,76
0.733402,77
0.734007,76
0.734613,76
0.735219,76
0.735824,77
0.736430,76
0.737035,77
0.737641,76
0.738247,76
0.738852,77
0.739458,77
0.740063,77
0.740669,77
0.741275,77
0.741880,77
0.742486,77
0.743092,77
0.743697,77
0.744303,77
0.744908,77
0.745514,78
0.746120,78
0.746725,77
0.747331,77
0.747937,78
0.748542,77
0.749148,77
0.749753,78
0.750359,78
0.750965,78
0.751570,78
0.752176,78
0.752781,78
0.753387,78
0.753993,78
0.754598,78
0.755204,78
0.755810,79
0.756415,78
0.757021,79
0.757626,79
0.758232,79
0.758838,79
0.759443,79
0.760049,79
0.760654,79
0.761260,79
0.761866,79
0.762471,79
0.763077,79
0.763683,80
0.764288,79
0.764894,79
0.765499,79
0.766105,79
0.766711,80
0.767316,80
0.767922,79
0.768527,80
0.769133,79
0.769739,80
0.770344,79
0.770950,80
0.771556,80
0.772161,80
0.772767,80
0.773372,80
0.773978,80
0.774584,80
0.775189,80
0.775795,80
0.776400,80
0.777006,80
0.777612,80
0.778217,80
0.778823,81
0.779429,81
0.780034,81
0.780640,81
0.781245,81
0.781851,81
0.782457,82
0.783062,81
0.783668,81
0.784274,81
0.784879,82
0.785485,81
0.786090,82
0.786696,82
0.787302,82
0.787907,82
0.788513,82
0.789118,82
0.789724,82
0.790330,82
0.790935,82
0.791541,83
0.792147,82
0.792752,82
0.793358,82
0.793963,82
0.794569,83
0.795175,83
0.795780,82
0.796386,82
0.796991,82
0.797597,82
0.798203,83
0.798808,83
0.799414,84
0.800020,83
0.800625,83
0.801231,83
0.801836,83
0.802442,83
0.803048,83
0.803653,83
0.804259,84
0.804864,84
0.805470,84
0.806076,83
0.806681,84
0.807287,83
0.807893,84
0.808498,84
0.809104,85
0.809709,85
0.810315,85
0.810921,84
0.811526,84
0.812132,84
0.812737,84
0.813343,85
0.813949,84
0.814554,85
0.815160,85
0.815766,85
0.816371,85
0.816977,85
0.817582,85
0.818188,85
0.818794,86
0.819399,85
0.820005,85
0.820611,85
0.821216,85
0.821822,86
0.822427,86
0.823033,86
0.823639,86
0.824244,85
0.824850,86
0.825455,86
0.826061,86
0.826667,86
0.827272,86
0.827878,86
0.828484,86
0.829089,86
0.829695,86
0.830300,86
0.830906,86
0.831512,86
0.832117,86
0.832723,87
0.833328,86
0.833934,87
0.834540,86
0.835145,86
0.835751,87
0.836357,87
0.836962,87
0.837568,87
0.838173,88
0.838779,87
0.839385,87
0.839990,87
0.840596,88
0.841201,87
0.841807,87
0.842413,87
0.843018,87
0.843624,88
0.844230,88
0.844835,88
0.845441,88
0.846046,88
0.846652,88
0.847258,88
0.847863,88
0.848469,88
0.849074,88
0.849680,88
0.850286,88
0.850891,88
0.851497,88
0.852103,88
0.852708,88
0.853314,88
0.853919,88
0.854525,89
0.855131,89
0.855736,89
0.856342,89
0.856947,90
0.857553,89
0.858159,89
0.858764,89
0.859370,89
0.859976,90
0.860581,90
0.861187,90
0.861792,90
0.862398,89
0.863004,90
0.863609,90
0.864215,90
0.864821,90
0.865426,90
0.866032,91
0.866637,91
0.867243,90
0.867849,90
0.868454,90
0.869060,90
0.869665,91
0.870271,90
0.870877,91
0.871482,91
0.872088,91
0.872694,91
0.873299,91
0.873905,91
0.874510,91
0.875116,91
0.875722,91
0.876327,92
0.876933,91
0.877538,91
0.878144,91
0.878750,92
0.879355,91
0.879961,92
0.880567,91
0.881172,92
0.881778,92
0.882383,92
0.882989,93
0.883595,93
0.884200,93
0.884806,92
0.885411,93
0.886017,93
0.886623,92
0.887228,92
0.887834,93
0.888440,93
0.889045,93
0.889651,93
0.890256,93
0.890862,93
0.891468,93
0.892073,93
0.892679,93
0.893284,93
0.893890,94
0.894496,93
0.895101,93
0.895707,94
0.896313,93
0.896918,93
0.897524,93
0.898129,94
0.898735,93
0.899341,94
0.899946,93
0.900552,94
0.901158,93
0.901763,94
0.902369,94
0.902974,94
0.903580,94
0.904186,94
0.904791,94
0.905397,94
0.906002,94
0.906608,95
0.907214,94
0.907819,95
0.908425,95
0.909031,95
0.909636,95
0.910242,95
0.910847,95
0.911453,95
0.912059,95
0.912664,95
0.913270,95
0.913875,95
0.914481,96
0.915087,95
0.915692,95
0.916298,96
0.916904,96
0.917509,95
0.918115,96
0.918720,96
0.919326,95
0.919932,96
0.920537,96
0.921143,96
0.921748,96
0.922354,96
0.922960,96
0.923565,96
0.924171,97
0.924777,96
0.925382,96
0.925988,96
0.926593,96
0.927199,97
0.927805,97
0.928410,97
0.929016,97
0.929621,97
0.930227,97
0.930833,97
0.931438,97
0.932044,98
0.932650,98
0.933255,97
0.933861,97
0.934466,98
0.935072,97
0.935678,97
0.936283,98
0.936889,97
0.937495,98
0.938100,98
0.938706,98
0.939311,98
0.939917,98
0.940523,98
0.941128,98
0.941734,98
0.942339,98
0.942945,98
0.943551,98
0.944156,99
0.944762,99
0.945368,98
0.945973,98
0.946579,98
0.947184,98
0.947790,99
0.948396,99
0.949001,99
0.949607,99
0.950212,99
0.950818,99
0.951424,99
0.952029,99
0.952635,100
0.953241,99
0.953846,100
0.954452,99
0.955057,99
0.955663,99
0.956269,100
0.956874,100
0.957480,100
0.958085,100
0.958691,100
0.959297,100
0.959902,101
0.960508,100
0.961114,100
0.961719,100
0.962325,100
0.962930,100
0.963536,101
0.964142,101
0.964747,100
0.965353,101
0.965958,101
0.966564,101
0.967170,101
0.967775,101
0.968381,101
0.968987,101
0.969592,102
0.970198,102
0.970803,102
0.971409,102
0.972015,102
0.972620,102
0.973226,102
0.973832,101
0.974437,102
0.975043,102
0.975648,102
0.976254,102
0.976860,102
0.977465,102
0.978071,102
0.978676,102
0.979282,102
0.979888,102
0.980493,102
0.981099,102
0.981705,103
0.982310,103
0.982916,102
0.983521,102
0.984127,103
0.984733,103
0.985338,103
0.985944,103
0.986549,103
0.987155,103
0.987761,103
0.988366,103
0.988972,103
0.989578,104
0.990183,103
0.990789,103
0.991394,104
0.992000,103
0.992606,103
0.993211,103
0.993817,104
0.994422,104
0.995028,104
0.995634,104
0.996239,104
0.996845,104
0.997451,104
0.998056,104
0.998662,105
0.999267,105
0.999873,104
1.000479,104
1.001084,105
1.001690,105
1.002295,105
1.002901,105
1.003507,105
1.004112,105
1.004718,105
1.005324,105
1.005929,105
1.006535,105
1.007140,105
1.007746,106
1.008352,106
1.008957,106
1.009563,105
1.010168,106
1.010774,105
1.011380,106
1.011985,105
1.012591,106
1.013197,105
1.013802,106
1.014408,106
1.015013,105
1.015619,106
1.016225,106
1.016830,106
1.017436,106
1.018042,106
1.018647,107
1.019253,107
1.019858,106
1.020464,106
1.021070,107
1.021675,107
1.022281,107
1.022886,108
1.023492,106
1.024098,107
1.024703,107
1.025309,108
1.025915,108
1.026520,108
1.027126,107
1.027731,107
1.028337,107
1.028943,107
1.029548,108
1.030154,107
1.030759,108
1.031365,108
1.031971,107
1.032576,108
1.033182,108
1.033788,108
1.034393,108
1.034999,108
1.035604,108
1.036210,108
1.036816,108
1.037421,109
1.038027,109
1.038632,109
1.039238,108
1.039844,109
1.040449,109
1.041055,109
1.041661,109
1.042266,109
1.042872,109
1.043477,109
1.044083,109
1.044689,110
1.045294,110
1.045900,110
1.046505,109
1.047111,109
1.047717,110
1.048322,109
1.048928,110
1.049534,109
1.050139,110
1.050745,110
1.051350,109
1.051956,110
1.052562,110
1.053167,110
1.053773,110
1.054379,110
1.054984,110
1.055590,110
1.056195,110
1.056801,111
1.057407,110
1.058012,111
1.058618,110
1.059223,111
1.059829,111
1.060435,111
1.061040,111
1.061646,111
1.062252,111
1.062857,111
1.063463,111
1.064068,111
1.064674,112
1.065280,111
1.065885,111
1.066491,111
1.067096,112
1.067702,111
1.068308,112
1.068913,112
1.069519,112
1.070125,112
1.070730,112
1.071336,112
1.071941,112
1.072547,112
1.073153,112
1.073758,112
1.074364,112
1.074969,112
1.075575,112
1.076181,113
1.076786,113
1.077392,112
1.077998,113
1.078603,113
1.079209,113
1.079814,113
1.080420,113
1.081026,114
1.081631,114
1.082237,113
1.082842,113
1.083448,113
1.084054,113
1.084659,113
1.085265,113
1.085871,114
1.086476,114
1.087082,114
1.087687,114
1.088293,114
1.088899,114
1.089504,114
1.090110,114
1.090716,114
1.091321,115
1.091927,114
1.092532,114
1.093138,114
1.093744,114
1.094349,114
1.094955,114
1.095560,115
1.096166,115
1.096772,115
1.097377,115
1.097983,115
1.098589,115
1.099194,115
1.099800,116
1.100405,115
1.101011,115
1.101617,115
1.102222,115
1.102828,115
1.103433,116
1.104039,116
1.104645,115
1.105250,116
1.105856,116
1.106462,116
1.107067,116
1.107673,116
1.108278,116
1.108884,116
1.109490,116
1.110095,116
1.110701,116
1.111306,116
1.111912,116
1.112518,117
1.113123,116
1.113729,117
1.114335,117
1.114940,117
1.115546,116
1.116151,117
1.116757,117
1.117363,117
1.117968,117
1.118574,117
1.119179,118
1.119785,117
1.120391,117
1.120996,117
1.121602,118
1.122208,118
1.122813,117
1.123419,118
1.124024,117
1.124630,118
1.125236,118
1.125841,118
1.126447,118
1.127053,118
1.127658,118
1.128264,119
1.128869,119
1.129475,118
1.130081,119
1.130686,118
1.131292,119
1.131897,118
1.132503,118
1.133109,118
1.133714,118
1.134320,119
1.134926,118
1.135531,119
1.136137,119
1.136742,120
1.137348,119
1.137954,119
1.138559,119
1.139165,120
1.139770,119
1.140376,119
1.140982,120
1.141587,120
1.142193,119
1.142799,120
1.143404,119
1.144010,120
1.144615,120
1.145221,120
1.145827,120
1.146432,120
1.147038,121
1.147643,120
1.148249,120
1.148855,120
1.149460,121
1.150066,120
1.150672,121
1.151277,120
1.151883,120
1.152488,121
1.153094,121
1.153700,121
1.154305,121
1.154911,120
1.155516,121
1.156122,121
1.156728,121
1.157333,122
1.157939,121
1.158545,121
1.159150,122
1.159756,121
1.160361,121
1.160967,122
1.161573,121
1.162178,122
1.162784,121
1.163389,122
1.163995,122
1.164601,122
1.165206,122
1.165812,122
1.166418,122
1.167023,122
1.167629,122
1.168234,122
1.168840,123
1.169446,122
1.170051,122
1.170657,122
1.171263,122
1.171868,122
1.172474,122
1.173079,123
1.173685,123
1.174291,123
1.174896,124
1.175502,123
1.176107,124
1.176713,124
1.177319,123
1.177924,123
1.178530,123
1.179136,123
1.179741,123
1.180347,123
1.180952,124
1.181558,124
1.182164,123
1.182769,125
1.183375,124
1.183980,124
1.184586,124
1.185192,124
1.185797,124
1.186403,124
1.187009,124
1.187614,125
1.188220,124
1.188825,124
1.189431,125
1.190037,125
1.190642,125
1.191248,125
1.191853,125
1.192459,125
1.193065,125
1.193670,125
1.194276,125
1.194882,125
1.195487,125
1.196093,125
1.196698,125
1.197304,125
1.197910,126
1.198515,126
1.199121,126
1.199726,126
1.200332,126
1.200938,126
1.201543,126
1.202149,126
1.202755,126
1.203360,126
1.203966,127
1.204571,127
1.205177,126
1.205783,126
1.206388,127
1.206994,126
1.207600,126
